"dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","estado_pil","tipo_veh","color_veh","modelo_veh","causa_acc","ano_ocu","muni_ocu","grupo_edad_pil","mayor_men","marca_veh","grupo_mod_veh","grupo_hor_ocu","grupo_eda_pil"
10,"Abril","Sabado",17,"Izabal","Rural",99,"Ignorado",99,"Ignorado","Pick-up","Gris","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
4,"Octubre","Lunes",15,"Chiquimula","Rural",99,"Hombre",99,"Ignorado","Pick-up","Ignorado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
10,"Mayo","Lunes",19,"Escuintla","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Ignorado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
12,"Marzo","Viernes",20,"Sacatepequez","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Rojo","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
29,"Octubre","Viernes",20,"Huehuetenango","Rural",99,"Ignorado",99,"Ignorado","Pick-up","Azul","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
15,"Octubre","Viernes",0,"Zacapa","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
20,"Noviembre","Sabado",0,"Guatemala","Urbano",99,"Hombre",99,"No Ebrio","Motocicleta","Gris","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
17,"Abril","Sabado",0,"Guatemala","Urbano",1,"Hombre",1,"Ignorado","Automovil","Negro","1","Colision",2010,NA,NA,NA,NA,NA,NA,NA
31,"Enero","Domingo",0,"Jutiapa","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
23,"Diciembre","Jueves",0,"Guatemala","Urbano",1,"Hombre",1,"No Ebrio","Automovil","Blanco","1","Colision",2010,NA,NA,NA,NA,NA,NA,NA
3,"Diciembre","Viernes",0,"Quetzaltenango","Urbano",99,"Hombre",99,"Ignorado","Automovil","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
17,"Febrero","Miercoles",0,"Sacatepequez","Rural",99,"Hombre",99,"Ignorado","Pick-up","Blanco","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
16,"Marzo","Martes",0,"Chiquimula","Urbano",99,"Hombre",99,"Ignorado","Pick-up","Verde","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
17,"Diciembre","Viernes",0,"Guatemala","Urbano",13,"Hombre",13,"Ebrio","Motocicleta","Azul","13","Choque",2010,NA,NA,NA,NA,NA,NA,NA
24,"Enero","Domingo",0,"Suchitepequez","Rural",99,"Hombre",99,"Ignorado","Camioneta","Negro","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
21,"Noviembre","Domingo",0,"Peten","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Ignorado","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
28,"Febrero","Domingo",0,"San Marcos","Rural",99,"Hombre",99,"Ignorado","Pick-up","Beige","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
25,"Diciembre","Sabado",0,"Chiquimula","Rural",99,"Hombre",99,"Ebrio","Motocicleta","Rojo","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
1,"Septiembre","Miercoles",1,"Guatemala","Urbano",18,"Hombre",18,"No Ebrio","Cabezal","Blanco","18","Colision",2010,NA,NA,NA,NA,NA,NA,NA
1,"Mayo","Sabado",1,"Peten","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Ignorado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
6,"Noviembre","Sabado",1,"Guatemala","Urbano",10,"Hombre",10,"Ignorado","Automovil","Azul","10","Colision",2010,NA,NA,NA,NA,NA,NA,NA
19,"Febrero","Viernes",1,"Zacapa","Rural",99,"Hombre",99,"Ignorado","Cabezal","Blanco","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
11,"Abril","Domingo",1,"Huehuetenango","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Ignorado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
25,"Julio","Domingo",1,"Jalapa","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Rojo","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
30,"Diciembre","Jueves",1,"Santa Rosa","Rural",99,"Hombre",99,"Ignorado","Tractor","Ignorado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
2,"Agosto","Lunes",1,"Peten","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Rojo","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
7,"Junio","Lunes",1,"El Progreso","Rural",99,"Hombre",99,"Ignorado","Microbus","Gris","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
13,"Noviembre","Sabado",1,"Guatemala","Urbano",5,"Hombre",5,"Ignorado","Automovil","Rojo","5","Caida",2010,NA,NA,NA,NA,NA,NA,NA
10,"Mayo","Lunes",1,"Baja Verapaz","Rural",99,"Hombre",99,"Ignorado","Pick-up","Verde","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
19,"Febrero","Viernes",1,"Escuintla","Rural",99,"Hombre",99,"No Ebrio","Cabezal","Ignorado","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
18,"Julio","Domingo",1,"Guatemala","Rural",10,"Hombre",10,"Ignorado","Camioneta","Negro","10","Choque",2010,NA,NA,NA,NA,NA,NA,NA
19,"Julio","Lunes",1,"Peten","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Blanco","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
29,"Enero","Viernes",1,"Guatemala","Urbano",18,"Hombre",18,"Ignorado","Camioneta","Corinto","18","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
22,"Julio","Jueves",1,"Zacapa","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Ignorado","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
31,"Enero","Domingo",1,"Chimaltenango","Rural",99,"Hombre",99,"Ignorado","Pick-up","Ignorado","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
24,"Julio","Sabado",1,"Zacapa","Rural",99,"Hombre",99,"Ebrio","Motocicleta","Negro","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
3,"Diciembre","Viernes",2,"Quetzaltenango","Urbano",99,"Hombre",99,"Ignorado","Motocicleta","Rojo","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
13,"Diciembre","Lunes",2,"Izabal","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Negro","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
2,"Junio","Miercoles",2,"Guatemala","Urbano",11,"Hombre",11,"No Ebrio","Motocicleta","Rojo","11","Choque",2010,NA,NA,NA,NA,NA,NA,NA
1,"Abril","Jueves",2,"San Marcos","Rural",99,"Hombre",99,"Ebrio","Pick-up","Rojo","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
4,"Diciembre","Sabado",2,"Guatemala","Urbano",12,"Hombre",12,"Ignorado","Pick-up","Blanco","12","Choque",2010,NA,NA,NA,NA,NA,NA,NA
12,"Marzo","Viernes",2,"Guatemala","Urbano",13,"Hombre",13,"Ignorado","Motocicleta","Rojo","13","Choque",2010,NA,NA,NA,NA,NA,NA,NA
17,"Junio","Jueves",2,"El Progreso","Rural",99,"Hombre",99,"No Ebrio","Cabezal","Azul","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
18,"Septiembre","Sabado",2,"Chimaltenango","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Blanco","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
25,"Octubre","Lunes",2,"Sacatepequez","Rural",99,"Hombre",99,"No Ebrio","Camion","Azul","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
27,"Junio","Domingo",2,"El Progreso","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Negro","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
28,"Julio","Miercoles",2,"San Marcos","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Gris","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
30,"Agosto","Lunes",2,"Baja Verapaz","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Negro","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
2,"Agosto","Lunes",3,"Guatemala","Urbano",1,"Hombre",1,"No Ebrio","Motocicleta","Rojo","1","Colision",2010,NA,NA,NA,NA,NA,NA,NA
6,"Junio","Domingo",3,"Escuintla","Rural",99,"Hombre",99,"No Ebrio","Cabezal","Anaranjado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
11,"Enero","Lunes",3,"Escuintla","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Negro","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
17,"Octubre","Domingo",3,"Izabal","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
19,"Mayo","Miercoles",3,"Izabal","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Negro","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
23,"Julio","Viernes",3,"Guatemala","Urbano",1,"Hombre",1,"Ignorado","Motocicleta","Ignorado","1","Choque",2010,NA,NA,NA,NA,NA,NA,NA
31,"Julio","Sabado",3,"Guatemala","Urbano",7,"Hombre",7,"Ebrio","Automovil","Gris","7","Choque",2010,NA,NA,NA,NA,NA,NA,NA
2,"Mayo","Domingo",4,"Guatemala","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Negro","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
11,"Agosto","Miercoles",4,"Escuintla","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Rojo","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
15,"Mayo","Sabado",4,"Chiquimula","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Blanco","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
23,"Enero","Sabado",4,"Izabal","Rural",99,"Hombre",99,"Ignorado","Bus extraurbano","Rojo","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
20,"Marzo","Sabado",4,"Suchitepequez","Rural",99,"Ignorado",99,"Ignorado","Camion","Verde","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
24,"Julio","Sabado",4,"Guatemala","Urbano",6,"Hombre",6,"No Ebrio","Motocicleta","Rojo","6","Colision",2010,NA,NA,NA,NA,NA,NA,NA
30,"Julio","Viernes",4,"Izabal","Urbano",99,"Hombre",99,"Ignorado","Motocicleta","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
3,"Octubre","Domingo",4,"Guatemala","Urbano",3,"Hombre",3,"No Ebrio","Automovil","Amarillo","3","Choque",2010,NA,NA,NA,NA,NA,NA,NA
6,"Mayo","Jueves",4,"Izabal","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Rojo","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
11,"Noviembre","Jueves",4,"Izabal","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Ignorado","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
18,"Febrero","Jueves",4,"Guatemala","Urbano",13,"Hombre",13,"Ignorado","Panel","Blanco","13","Choque",2010,NA,NA,NA,NA,NA,NA,NA
16,"Diciembre","Jueves",4,"Guatemala","Rural",99,"Hombre",99,"Ebrio","Automovil","Azul","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
30,"Agosto","Lunes",4,"Sacatepequez","Rural",99,"Hombre",99,"No Ebrio","Automovil","Anaranjado","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
1,"Abril","Jueves",5,"Guatemala","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Rojo","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
2,"Abril","Viernes",5,"Peten","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Negro","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
