<<<<<<< Updated upstream
"num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","g_edad","estado_pil","grupo_mode_veh"
1199,13,"Marzo","Miercoles",21,"Jutiapa","Jutiapa","RURAL","Ignorado","Hombre","24","Mayor","Motocicleta","Negro","Ignorado","COLISION","Bajaj","20-24","NORMAL","Ignorado"
1200,13,"Marzo","Miercoles",18,"Suchitepéquez","Mazatenango","RURAL","Ignorado","Hombre","46","Mayor","Pick up","Negro","1980-1989","COLISION","Toyota","45-49","NORMAL","1980-1989"
1201,13,"Marzo","Miercoles",18,"Suchitepéquez","Mazatenango","RURAL","Ignorado","Hombre","57","Mayor","Camioneta","Gris","1980-1989","COLISION","Toyota","55 y más","NORMAL","1980-1989"
1202,13,"Marzo","Miercoles",21,"Suchitepéquez","San Antonio Suchitepéquez","RURAL","Ignorado","Hombre","29","Mayor","Camioneta","Corinto","Ignorado","COLISION","Mitsubishi","25-29","EBRIO","Ignorado"
1203,13,"Marzo","Miercoles",21,"Suchitepéquez","San Antonio Suchitepéquez","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Bus extraurbano","Amarillo","Ignorado","COLISION","International","Ignorado","NORMAL","Ignorado"
1204,13,"Marzo","Miercoles",18,"Suchitepéquez","San Antonio Suchitepéquez","RURAL","Ignorado","Hombre","46","Mayor","Automovil","Verde","1990-1999","CHOQUE","Mazda","45-49","EBRIO","1990-1999"
1205,13,"Marzo","Miercoles",21,"Huehuetenango","Colotenango","RURAL","Ignorado","Hombre","29","Mayor","Automovil","Beige","Ignorado","CHOQUE","Toyota","25-29","EBRIO","Ignorado"
1206,13,"Marzo","Miercoles",12,"Baja Verapaz","San Jerónimo","RURAL","Ignorado","Hombre","37","Mayor","Motocicleta","Negro","Ignorado","COLISION","Bajaj","35-39","EBRIO","Ignorado"
1207,13,"Marzo","Miercoles",12,"Baja Verapaz","San Jerónimo","RURAL","Ignorado","Hombre","53","Mayor","Automovil","Verde","1990-1999","COLISION","Nissan_duplicated_37","50-54","NORMAL","1990-1999"
1208,13,"Marzo","Miercoles",11,"Sacatepéquez","Antigua Guatemala","RURAL","Ignorado","Hombre","47","Mayor","Camión","Blanco","Ignorado","VUELCO","Hino","45-49","NORMAL","Ignorado"
1209,14,"Marzo","Jueves",23,"Guatemala","Guatemala","URBANO","18","Hombre","27","Mayor","Motocicleta","Negro","2010-2013","CHOQUE","Freedom","25-29","EBRIO","2010-2014"
1210,14,"Marzo","Jueves",12,"Guatemala","San José Pinula","RURAL","Ignorado","Mujer","28","Mayor","Automovil","Verde","1990-1999","COLISION","Nissan_duplicated_37","25-29","NORMAL","1990-1999"
1211,14,"Marzo","Jueves",12,"Guatemala","San José Pinula","RURAL","Ignorado","Hombre","21","Mayor","Motocicleta","Negro","2010-2013","COLISION","Bajaj","20-24","NORMAL","2010-2014"
1212,14,"Marzo","Jueves",12,"Guatemala","San José Pinula","RURAL","Ignorado","Hombre","27","Mayor","Motocicleta","Rojo","1990-1999","COLISION","Movesa","25-29","NORMAL","1990-1999"
1213,14,"Marzo","Jueves",23,"Guatemala","Villa Nueva","RURAL","Ignorado","Hombre","35","Mayor","Camioneta","Corinto","1990-1999","COLISION","Toyota","35-39","EBRIO","1990-1999"
1214,14,"Marzo","Jueves",23,"Guatemala","Villa Nueva","RURAL","Ignorado","Hombre","35","Mayor","Cabezal","Azul","1990-1999","COLISION","Ignorado","35-39","NORMAL","1990-1999"
1215,14,"Marzo","Jueves",7,"Guatemala","Villa Nueva","URBANO","5","Hombre","21","Mayor","Camioneta","Ignorado","Ignorado","COLISION","Ignorado","20-24","NORMAL","Ignorado"
1216,14,"Marzo","Jueves",7,"Guatemala","Villa Nueva","URBANO","5","Hombre","20","Mayor","Camioneta","Ignorado","Ignorado","COLISION","Ignorado","20-24","NORMAL","Ignorado"
1217,14,"Marzo","Jueves",19,"Jutiapa","San José Acatempa","RURAL","Ignorado","Hombre","34","Mayor","Bus urbano","Ignorado","Ignorado","COLISION","Ignorado","30-34","NORMAL","Ignorado"
1218,14,"Marzo","Jueves",19,"Jutiapa","San José Acatempa","RURAL","Ignorado","Hombre","37","Mayor","Cabezal","Ignorado","Ignorado","COLISION","Ignorado","35-39","NORMAL","Ignorado"
1219,14,"Marzo","Jueves",19,"Jutiapa","San José Acatempa","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Camioneta","Azul","Ignorado","COLISION","Nissan_duplicated_37","Ignorado","NORMAL","Ignorado"
1220,14,"Marzo","Jueves",10,"Jalapa","Jalapa","RURAL","Ignorado","Hombre","23","Mayor","Pick up","Celeste","1980-1989","COLISION","Isuzu","20-24","NORMAL","1980-1989"
1221,14,"Marzo","Jueves",10,"Jalapa","Jalapa","RURAL","Ignorado","Hombre","24","Mayor","Motocicleta","Rojo","Ignorado","COLISION","Sniper","20-24","NORMAL","Ignorado"
1222,14,"Marzo","Jueves",6,"Zacapa","Zacapa","RURAL","Ignorado","Hombre","40","Mayor","Cabezal","Negro","1990-1999","COLISION","Freightliner","40-44","NORMAL","1990-1999"
1223,14,"Marzo","Jueves",6,"Zacapa","Zacapa","RURAL","Ignorado","Hombre","40","Mayor","Pick up","Negro","1990-1999","COLISION","Nissan_duplicated_37","40-44","NORMAL","1990-1999"
1224,14,"Marzo","Jueves",16,"Zacapa","Zacapa","RURAL","Ignorado","Hombre","38","Mayor","Cabezal","Celeste","2000-2009","COLISION","Freightliner","35-39","NORMAL","2000-2009"
1225,14,"Marzo","Jueves",16,"Zacapa","Zacapa","RURAL","Ignorado","Hombre","53","Mayor","Pick up","Gris","1990-1999","COLISION","Toyota","50-54","NORMAL","1990-1999"
1226,14,"Marzo","Jueves",10,"Suchitepéquez","Mazatenango","RURAL","Ignorado","Hombre","48","Mayor","Tractor","Ignorado","Ignorado","VUELCO","Ignorado","45-49","NORMAL","Ignorado"
1227,14,"Marzo","Jueves",4,"Huehuetenango","Huehuetenango","URBANO","11","Ignorado","Ignorado","Ignorado","Automovil","Blanco","1980-1989","CHOQUE","Toyota","Ignorado","IGNORADO","1980-1989"
1228,14,"Marzo","Jueves",12,"Alta Verapaz","Cobán","URBANO","12","Hombre","44","Mayor","Camioneta","Azul","Ignorado","COLISION","Ignorado","40-44","NORMAL","Ignorado"
1229,14,"Marzo","Jueves",12,"Alta Verapaz","Cobán","URBANO","12","Hombre","22","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Honda","20-24","NORMAL","Ignorado"
1230,14,"Marzo","Jueves",21,"Alta Verapaz","Cobán","RURAL","Ignorado","Hombre","33","Mayor","Automovil","Blanco","1990-1999","CHOQUE","Toyota","30-34","EBRIO","1990-1999"
1231,14,"Marzo","Jueves",20,"Petén","Flores","RURAL","Ignorado","Hombre","28","Mayor","Automovil","Ignorado","Ignorado","COLISION","Mitsubishi","25-29","NORMAL","Ignorado"
1232,14,"Marzo","Jueves",20,"Petén","Flores","RURAL","Ignorado","Hombre","38","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Suzuki","35-39","NORMAL","Ignorado"
1233,15,"Marzo","Viernes",23,"Guatemala","Guatemala","URBANO","18","Hombre","24","Mayor","Pick up","Blanco","Ignorado","CHOQUE","Toyota","20-24","EBRIO","Ignorado"
1234,15,"Marzo","Viernes",22,"Guatemala","Santa Catarina Pinula","RURAL","Ignorado","Mujer","30","Mayor","Motocicleta","Gris","Ignorado","COLISION","Freedom","30-34","NORMAL","Ignorado"
1235,15,"Marzo","Viernes",22,"Guatemala","Santa Catarina Pinula","RURAL","Ignorado","Hombre","26","Mayor","Motocicleta","Negro","2000-2009","COLISION","Bajaj","25-29","EBRIO","2000-2009"
1236,15,"Marzo","Viernes",21,"Guatemala","Guatemala","RURAL","7","Hombre","21","Mayor","Motocicleta","Negro","Ignorado","VUELCO","Italika","20-24","IGNORADO","Ignorado"
1237,15,"Marzo","Viernes",15,"Zacapa","Zacapa","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Camión","Blanco","Ignorado","COLISION","Mercedes benz","Ignorado","IGNORADO","Ignorado"
1238,15,"Marzo","Viernes",15,"Zacapa","Zacapa","RURAL","Ignorado","Hombre","27","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","25-29","IGNORADO","Ignorado"
1239,15,"Marzo","Viernes",22,"Suchitepéquez","Mazatenango","RURAL","Ignorado","Hombre","22","Mayor","Motocicleta","Negro","2010-2013","COLISION","Honda","20-24","EBRIO","2010-2014"
1240,15,"Marzo","Viernes",22,"Suchitepéquez","Mazatenango","RURAL","Ignorado","Hombre","24","Mayor","Motocicleta","Negro","2010-2013","COLISION","Suzuki","20-24","NORMAL","2010-2014"
1241,15,"Marzo","Viernes",2,"Quetzaltenango","Zuníl","RURAL","Ignorado","Hombre","48","Mayor","Automovil","Negro","2000-2009","CHOQUE","Ignorado","45-49","EBRIO","2000-2009"
1242,15,"Marzo","Viernes",20,"Petén","Poptún","RURAL","Ignorado","Hombre","18","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","15-19","IGNORADO","Ignorado"
1243,15,"Marzo","Viernes",20,"Petén","Poptún","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Ignorado","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
1244,15,"Marzo","Viernes",12,"Chimaltenango","Acatenango","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Azul","Ignorado","VUELCO","Toyota","Ignorado","IGNORADO","Ignorado"
1245,15,"Marzo","Viernes",19,"Chimaltenango","Chimaltenango","RURAL","Ignorado","Hombre","25","Mayor","Automovil","Negro","Ignorado","CHOQUE","Ignorado","25-29","EBRIO","Ignorado"
1246,15,"Marzo","Viernes",23,"Sacatepéquez","Antigua Guatemala","RURAL","Ignorado","Mujer","34","Mayor","Pick up","Gris","2000-2009","COLISION","Toyota","30-34","NORMAL","2000-2009"
1247,15,"Marzo","Viernes",23,"Sacatepéquez","Antigua Guatemala","RURAL","Ignorado","Hombre","50","Mayor","Camión","Blanco","2000-2009","COLISION","Kia","50-54","NORMAL","2000-2009"
1248,16,"Marzo","Sabado",2,"Guatemala","Guatemala","URBANO","1","Hombre","36","Mayor","Automovil","Ignorado","Ignorado","COLISION","Mitsubishi","35-39","NORMAL","Ignorado"
1249,16,"Marzo","Sabado",2,"Guatemala","Guatemala","URBANO","1","Hombre","34","Mayor","Automovil","Rojo","2000-2009","COLISION","Chevy","30-34","NORMAL","2000-2009"
1250,16,"Marzo","Sabado",17,"Guatemala","Guatemala","URBANO","1","Hombre","22","Mayor","Automovil","Corinto","1990-1999","COLISION","Mazda","20-24","NORMAL","1990-1999"
1251,16,"Marzo","Sabado",17,"Guatemala","Guatemala","URBANO","1","Mujer","28","Mayor","Automovil","Gris","2000-2009","COLISION","Toyota","25-29","NORMAL","2000-2009"
1252,16,"Marzo","Sabado",19,"Guatemala","Guatemala","URBANO","1","Hombre","30","Mayor","Pick up","Negro","1990-1999","COLISION","Ford","30-34","EBRIO","1990-1999"
1253,16,"Marzo","Sabado",19,"Guatemala","Guatemala","URBANO","1","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
1254,16,"Marzo","Sabado",22,"Guatemala","Palencia","RURAL","Ignorado","Hombre","27","Mayor","Automovil","Gris","2000-2009","COLISION","Suzuki","25-29","EBRIO","2000-2009"
1255,16,"Marzo","Sabado",22,"Guatemala","Palencia","RURAL","Ignorado","Hombre","32","Mayor","Camioneta","Gris","2000-2009","COLISION","Honda","30-34","NORMAL","2000-2009"
1256,16,"Marzo","Sabado",5,"Guatemala","Santa Catarina Pinula","URBANO","10","Hombre","28","Mayor","Pick up","Ignorado","Ignorado","COLISION","Ignorado","25-29","NORMAL","Ignorado"
1257,16,"Marzo","Sabado",5,"Guatemala","Santa Catarina Pinula","URBANO","10","Mujer","29","Mayor","Camioneta","Gris","2010-2013","COLISION","Hyundai","25-29","NORMAL","2010-2014"
1258,16,"Marzo","Sabado",3,"Guatemala","Guatemala","URBANO","12","Hombre","20","Mayor","Motocicleta","Negro","Ignorado","CHOQUE","Suzuki","20-24","EBRIO","Ignorado"
1259,16,"Marzo","Sabado",3,"Guatemala","San Juan Sacatepéquez","URBANO","4","Hombre","25","Mayor","Automovil","Blanco","Ignorado","CHOQUE","Mitsubishi","25-29","EBRIO","Ignorado"
1260,16,"Marzo","Sabado",17,"Jutiapa","Jutiapa","RURAL","Ignorado","Hombre","18","Mayor","Automovil","Ignorado","2000-2009","VUELCO","Chevrolet","15-19","IGNORADO","2000-2009"
1261,16,"Marzo","Sabado",20,"Chiquimula","Chiquimula","RURAL","Ignorado","Hombre","23","Mayor","Pick up","Ignorado","Ignorado","VUELCO","Ignorado","20-24","IGNORADO","Ignorado"
1262,16,"Marzo","Sabado",3,"Escuintla","Escuintla","RURAL","Ignorado","Mujer","21","Mayor","Microbus","Ignorado","Ignorado","COLISION","Ignorado","20-24","NORMAL","Ignorado"
1263,16,"Marzo","Sabado",3,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","56","Mayor","Microbus","Azul","Ignorado","COLISION","Hyundai","55 y más","NORMAL","Ignorado"
1264,16,"Marzo","Sabado",22,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","21","Mayor","Ignorado","Blanco","1990-1999","COLISION","Kia","20-24","NORMAL","1990-1999"
1265,16,"Marzo","Sabado",22,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","27","Mayor","Ignorado","Rojo","1990-1999","COLISION","Toyota","25-29","EBRIO","1990-1999"
1266,16,"Marzo","Sabado",19,"Suchitepéquez","San Antonio Suchitepéquez","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Azul","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
1267,16,"Marzo","Sabado",19,"Suchitepéquez","San Antonio Suchitepéquez","RURAL","Ignorado","Hombre","29","Mayor","Motocicleta","Negro","Ignorado","COLISION","Suzuki","25-29","IGNORADO","Ignorado"
1268,16,"Marzo","Sabado",3,"Retalhuleu","Retalhuleu","RURAL","Ignorado","Mujer","21","Mayor","Motocicleta","Rojo","Ignorado","CHOQUE","Bajaj","20-24","EBRIO","Ignorado"
1269,16,"Marzo","Sabado",18,"San Marcos","Malacatán","RURAL","Ignorado","Hombre","42","Mayor","Microbus","Gris","2000-2009","COLISION","Nissan_duplicated_37","40-44","IGNORADO","2000-2009"
1270,16,"Marzo","Sabado",18,"San Marcos","Malacatán","RURAL","Ignorado","Hombre","43","Mayor","Camioneta","Negro","1990-1999","COLISION","Toyota","40-44","IGNORADO","1990-1999"
1271,16,"Marzo","Sabado",21,"Huehuetenango","Huehuetenango","RURAL","Ignorado","Mujer","18","Mayor","Motocicleta","Rojo","2010-2013","CHOQUE","Italika","15-19","EBRIO","2010-2014"
1272,16,"Marzo","Sabado",12,"Izabal","Puerto Barrios","RURAL","Ignorado","Mujer","27","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","25-29","IGNORADO","Ignorado"
1273,16,"Marzo","Sabado",12,"Izabal","Puerto Barrios","RURAL","Ignorado","Mujer","22","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","20-24","IGNORADO","Ignorado"
1274,16,"Marzo","Sabado",12,"Izabal","Puerto Barrios","RURAL","Ignorado","Mujer","32","Mayor","Motocicleta","Negro","Ignorado","VUELCO","Freedom","30-34","IGNORADO","Ignorado"
1275,16,"Marzo","Sabado",22,"Petén","Flores","RURAL","Ignorado","Hombre","23","Mayor","Motocicleta","Azul","Ignorado","VUELCO","Suzuki","20-24","EBRIO","Ignorado"
1276,16,"Marzo","Sabado",14,"Petén","Flores","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Beige","Ignorado","COLISION","Toyota","Ignorado","IGNORADO","Ignorado"
1277,16,"Marzo","Sabado",14,"Petén","Flores","RURAL","Ignorado","Hombre","15","Menor","Motocicleta","Blanco","2010-2013","COLISION","Freedom","15-19","IGNORADO","2010-2014"
1278,16,"Marzo","Sabado",14,"Petén","Flores","RURAL","Ignorado","Hombre","35","Mayor","Camioneta","Azul","2000-2009","CHOQUE","Mitsubishi","35-39","IGNORADO","2000-2009"
1279,16,"Marzo","Sabado",21,"Petén","Flores","RURAL","Ignorado","Mujer","35","Mayor","Camioneta","Azul","2000-2009","CHOQUE","Mitsubishi","35-39","IGNORADO","2000-2009"
1280,16,"Marzo","Sabado",19,"Quiché","Santa Cruz del Quiché","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Corinto","Ignorado","VUELCO","Toyota","Ignorado","IGNORADO","Ignorado"
1281,17,"Marzo","Domingo",20,"Guatemala","Palencia","RURAL","Ignorado","Hombre","19","Mayor","Motocicleta","Azul","Ignorado","COLISION","Sniper","15-19","NORMAL","Ignorado"
1282,17,"Marzo","Domingo",20,"Guatemala","Palencia","RURAL","Ignorado","Hombre","51","Mayor","Pick up","Corinto","1980-1989","COLISION","Toyota","50-54","NORMAL","1980-1989"
1283,17,"Marzo","Domingo",3,"Guatemala","Santa Catarina Pinula","RURAL","Ignorado","Hombre","40","Mayor","Automovil","Negro","1990-1999","COLISION","Nissan_duplicated_37","40-44","IGNORADO","1990-1999"
1284,17,"Marzo","Domingo",3,"Guatemala","Santa Catarina Pinula","RURAL","Ignorado","Hombre","52","Mayor","Microbus","Blanco","1980-1989","COLISION","Mitsubishi","50-54","IGNORADO","1980-1989"
1285,17,"Marzo","Domingo",3,"Guatemala","Santa Catarina Pinula","URBANO","10","Hombre","45","Mayor","Automovil","Gris","Ignorado","COLISION","Mercedes benz","45-49","EBRIO","Ignorado"
1286,17,"Marzo","Domingo",3,"Guatemala","Santa Catarina Pinula","URBANO","10","Hombre","23","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Suzuki","20-24","IGNORADO","Ignorado"
1287,17,"Marzo","Domingo",21,"Guatemala","Guatemala","URBANO","12","Hombre","40","Mayor","Motocicleta","Negro","Ignorado","COLISION","Italika","40-44","NORMAL","Ignorado"
1288,17,"Marzo","Domingo",21,"Guatemala","Guatemala","URBANO","12","Ignorado","Ignorado","Ignorado","Automovil","Azul","Ignorado","COLISION","Dodge_duplicated_11","Ignorado","IGNORADO","Ignorado"
1289,17,"Marzo","Domingo",0,"Guatemala","Guatemala","URBANO","12","Hombre","40","Mayor","Camioneta","Gris","1980-1989","CHOQUE","Isuzu","40-44","IGNORADO","1980-1989"
1290,17,"Marzo","Domingo",10,"Guatemala","Villa Nueva","RURAL","Ignorado","Hombre","23","Mayor","Motocicleta","Negro","2010-2013","COLISION","Bajaj","20-24","IGNORADO","2010-2014"
1291,17,"Marzo","Domingo",10,"Guatemala","Villa Nueva","RURAL","Ignorado","Hombre","24","Mayor","Motocicleta","Azul","2000-2009","COLISION","Suzuki","20-24","IGNORADO","2000-2009"
1292,17,"Marzo","Domingo",18,"Guatemala","Villa Nueva","RURAL","Ignorado","Mujer","25","Mayor","Automovil","Ignorado","1990-1999","COLISION","Toyota","25-29","NORMAL","1990-1999"
1293,17,"Marzo","Domingo",18,"Guatemala","Villa Nueva","RURAL","Ignorado","Hombre","36","Mayor","Automovil","Gris","1990-1999","COLISION","Toyota","35-39","NORMAL","1990-1999"
1294,17,"Marzo","Domingo",18,"Guatemala","Villa Nueva","RURAL","Ignorado","Hombre","55","Mayor","Microbus","Blanco","1980-1989","COLISION","Nissan_duplicated_37","55 y más","NORMAL","1980-1989"
1295,17,"Marzo","Domingo",14,"Guatemala","San Juan Sacatepéquez","URBANO","4","Hombre","36","Mayor","Automovil","Gris","Ignorado","COLISION","Kia","35-39","NORMAL","Ignorado"
1296,17,"Marzo","Domingo",14,"Guatemala","San Juan Sacatepéquez","URBANO","4","Mujer","30","Mayor","Automovil","Blanco","Ignorado","COLISION","Honda","30-34","NORMAL","Ignorado"
1297,17,"Marzo","Domingo",4,"Guatemala","San Juan Sacatepéquez","RURAL","Ignorado","Hombre","32","Mayor","Motocicleta","Rojo","2010-2013","VUELCO","Suzuki","30-34","EBRIO","2010-2014"
1298,17,"Marzo","Domingo",23,"Jalapa","Jalapa","RURAL","Ignorado","Hombre","20","Mayor","Motocicleta","Ignorado","Ignorado","VUELCO","Toyota","20-24","EBRIO","Ignorado"
1299,17,"Marzo","Domingo",23,"Chiquimula","Chiquimula","RURAL","Ignorado","Hombre","56","Mayor","Pick up","Negro","2000-2009","COLISION","Toyota","55 y más","IGNORADO","2000-2009"
1300,17,"Marzo","Domingo",23,"Chiquimula","Chiquimula","RURAL","Ignorado","Hombre","22","Mayor","Motocicleta","Negro","2010-2013","COLISION","Ignorado","20-24","IGNORADO","2010-2014"
1301,17,"Marzo","Domingo",23,"Zacapa","Zacapa","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Camión","Ignorado","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
1302,17,"Marzo","Domingo",23,"Zacapa","Zacapa","RURAL","Ignorado","Hombre","46","Mayor","Pick up","Ignorado","Ignorado","COLISION","Ignorado","45-49","IGNORADO","Ignorado"
1303,17,"Marzo","Domingo",21,"Zacapa","Zacapa","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Cabezal","Ignorado","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
1304,17,"Marzo","Domingo",21,"Zacapa","Zacapa","RURAL","Ignorado","Hombre","26","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","25-29","NORMAL","Ignorado"
1305,17,"Marzo","Domingo",21,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","25","Mayor","Motocicleta","Azul","Ignorado","CHOQUE","Ignorado","25-29","EBRIO","Ignorado"
1306,17,"Marzo","Domingo",0,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","31","Mayor","Automovil","Gris","2000-2009","COLISION","Mitsubishi","30-34","NORMAL","2000-2009"
1307,17,"Marzo","Domingo",0,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","36","Mayor","Automovil","Beige","Ignorado","COLISION","Mitsubishi","35-39","NORMAL","Ignorado"
1308,17,"Marzo","Domingo",4,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","38","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","35-39","NORMAL","Ignorado"
1309,17,"Marzo","Domingo",4,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","43","Mayor","Motocicleta","Rojo","Ignorado","COLISION","Bajaj","40-44","NORMAL","Ignorado"
1310,17,"Marzo","Domingo",9,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","45","Mayor","Motocicleta","Negro","Ignorado","CHOQUE","Bajaj","45-49","NORMAL","Ignorado"
1311,17,"Marzo","Domingo",17,"Suchitepéquez","San Antonio Suchitepéquez","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Cabezal","Negro","2000-2009","COLISION","Freightliner","Ignorado","IGNORADO","2000-2009"
1312,17,"Marzo","Domingo",17,"Suchitepéquez","San Antonio Suchitepéquez","RURAL","Ignorado","Hombre","40","Mayor","Pick up","Gris","Ignorado","COLISION","Toyota","40-44","IGNORADO","Ignorado"
1313,17,"Marzo","Domingo",5,"Quetzaltenango","Quetzaltenango","RURAL","Ignorado","Hombre","46","Mayor","Pick up","Rojo","1980-1989","CHOQUE","Toyota","45-49","EBRIO","1980-1989"
1314,17,"Marzo","Domingo",13,"Quetzaltenango","Quetzaltenango","RURAL","Ignorado","Hombre","29","Mayor","Automovil","Café","1980-1989","COLISION","Toyota","25-29","NORMAL","1980-1989"
1315,17,"Marzo","Domingo",13,"Quetzaltenango","Quetzaltenango","RURAL","Ignorado","Hombre","21","Mayor","Panel","Blanco","2010-2013","COLISION","Ignorado","20-24","EBRIO","2010-2014"
1316,17,"Marzo","Domingo",13,"Quetzaltenango","Quetzaltenango","RURAL","Ignorado","Hombre","26","Mayor","Motocicleta","Negro","Ignorado","VUELCO","Ignorado","25-29","NORMAL","Ignorado"
1317,17,"Marzo","Domingo",0,"El Progreso","Guastatoya","RURAL","Ignorado","Hombre","31","Mayor","Pick up","Negro","1980-1989","COLISION","Toyota","30-34","NORMAL","1980-1989"
1318,17,"Marzo","Domingo",0,"El Progreso","Guastatoya","RURAL","Ignorado","Ignorado","Ignorado","Ignorado","Camión","Ignorado","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
1319,17,"Marzo","Domingo",20,"El Progreso","Guastatoya","RURAL","Ignorado","Hombre","38","Mayor","Automovil","Celeste","1980-1989","VUELCO","Honda","35-39","IGNORADO","1980-1989"
1320,17,"Marzo","Domingo",23,"Izabal","Puerto Barrios","RURAL","Ignorado","Hombre","28","Mayor","Automovil","Negro","1990-1999","COLISION","Kia","25-29","IGNORADO","1990-1999"
1321,17,"Marzo","Domingo",23,"Izabal","Puerto Barrios","RURAL","Ignorado","Hombre","41","Mayor","Motocicleta","Negro","2000-2009","COLISION","Suzuki","40-44","IGNORADO","2000-2009"
1322,17,"Marzo","Domingo",11,"Izabal","Puerto Barrios","RURAL","Ignorado","Hombre","49","Mayor","Cabezal","Verde","Ignorado","COLISION","Freightliner","45-49","IGNORADO","Ignorado"
1323,17,"Marzo","Domingo",11,"Izabal","Puerto Barrios","RURAL","Ignorado","Hombre","29","Mayor","Cabezal","Azul","2000-2009","COLISION","Freightliner","25-29","IGNORADO","2000-2009"
1324,17,"Marzo","Domingo",1,"Sacatepéquez","Antigua Guatemala","RURAL","Ignorado","Hombre","30","Mayor","Automovil","Rojo","2000-2009","COLISION","Volkwagen","30-34","IGNORADO","2000-2009"
1325,17,"Marzo","Domingo",1,"Sacatepéquez","Antigua Guatemala","RURAL","Ignorado","Hombre","28","Mayor","Automovil","Gris","2000-2009","COLISION","Toyota","25-29","EBRIO","2000-2009"
1326,17,"Marzo","Domingo",16,"Sacatepéquez","Antigua Guatemala","RURAL","Ignorado","Hombre","22","Mayor","Automovil","Ignorado","Ignorado","COLISION","Ignorado","20-24","NORMAL","Ignorado"
1327,17,"Marzo","Domingo",16,"Sacatepéquez","Antigua Guatemala","RURAL","Ignorado","Hombre","41","Mayor","Bicicleta","Ignorado","Ignorado","COLISION","Ignorado","40-44","NORMAL","Ignorado"
1328,18,"Marzo","Lunes",16,"Guatemala","Guatemala","URBANO","1","Hombre","19","Mayor","Automovil","Corinto","1990-1999","COLISION","Volkwagen","15-19","IGNORADO","1990-1999"
1329,18,"Marzo","Lunes",16,"Guatemala","Guatemala","URBANO","1","Hombre","19","Mayor","Automovil","Azul","2000-2009","COLISION","Hyundai","15-19","IGNORADO","2000-2009"
1330,18,"Marzo","Lunes",6,"Guatemala","Guatemala","URBANO","7","Hombre","25","Mayor","Automovil","Gris","1990-1999","CHOQUE","Mazda","25-29","EBRIO","1990-1999"
1331,18,"Marzo","Lunes",9,"Guatemala","Guatemala","URBANO","12","Hombre","35","Mayor","Automovil","Gris","Ignorado","CHOQUE","Mazda","35-39","EBRIO","Ignorado"
1332,18,"Marzo","Lunes",9,"Guatemala","Villa Nueva","URBANO","2","Hombre","48","Mayor","Panel","Blanco","Ignorado","CHOQUE","Suzuki","45-49","NORMAL","Ignorado"
1333,18,"Marzo","Lunes",15,"Guatemala","San Juan Sacatepéquez","URBANO","2","Hombre","28","Mayor","Motocicleta","Ignorado","Ignorado","VUELCO","Ignorado","25-29","NORMAL","Ignorado"
1334,18,"Marzo","Lunes",20,"Quetzaltenango","Quetzaltenango","RURAL","Ignorado","Hombre","44","Mayor","Automovil","Negro","1990-1999","COLISION","Toyota","40-44","EBRIO","1990-1999"
