"num_vehí","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_pil","edad_m1","condic_pil","tipo_vehi","color_vehi","modelo_vehi","causa_acc"
143,11,"Enero","Miercoles",20,"Totonicapán","San Francisco el Alto","Urbano","1","Hombre","25","25-29","Mayor","Normal","Motocicleta","Amarillo","2007","Colisión"
144,12,"Enero","Jueves",0,"Guatemala","Guatemala","Urbano","3","Hombre","Ignorado","Ignorado","Mayor","Normal","Pick up","Negro","Ignorado","Colisión"
145,12,"Enero","Jueves",0,"Guatemala","Guatemala","Urbano","3","Hombre","21","20-24","Mayor","Normal","Pick up","Verde","Ignorado","Colisión"
146,12,"Enero","Jueves",5,"Guatemala","Guatemala","Urbano","6","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Azúl","Ignorado","Choque"
147,12,"Enero","Jueves",21,"Guatemala","Petapa","Urbano","Ignorado","Hombre","23","20-24","Mayor","Normal","Automovil","Azúl","1992","Colisión"
148,12,"Enero","Jueves",21,"Guatemala","Petapa","Urbano","Ignorado","Hombre","21","20-24","Mayor","Normal","Motocicleta","Azúl","Ignorado","Colisión"
149,12,"Enero","Jueves",18,"Jalapa","San Pedro Pinula","Rural","Ignorado","Hombre","19","15-19","Mayor","Ebrio","Motocicleta","Rojo","Ignorado","Choque"
150,12,"Enero","Jueves",8,"Chiquimula","Esquipulas","Rural","Ignorado","Hombre","51","50-54","Mayor","Normal","Automovil","Corinto","1994","Colisión"
151,12,"Enero","Jueves",8,"Chiquimula","Esquipulas","Rural","Ignorado","Hombre","42","40-44","Mayor","Normal","Camión","Amarillo","1997","Colisión"
152,12,"Enero","Jueves",8,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","24","20-24","Mayor","Normal","Camión","Blanco","1998","Choque"
153,12,"Enero","Jueves",20,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","36","35-39","Mayor","Normal","Bus extraurbano","Blanco","Ignorado","Colisión"
154,12,"Enero","Jueves",20,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","30","30-34","Mayor","Normal","Motocicleta","Negro","Ignorado","Colisión"
155,12,"Enero","Jueves",10,"San Marcos","San Pedro Sacatepéquez_duplicated_1202","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Gris","Ignorado","Vuelco"
156,12,"Enero","Jueves",9,"Alta Verapaz","Lanquín","Rural","Ignorado","Hombre","26","25-29","Mayor","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
157,12,"Enero","Jueves",9,"Alta Verapaz","Lanquín","Rural","Ignorado","Hombre","24","20-24","Mayor","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
158,12,"Enero","Jueves",15,"Quiché","Chiché","Urbano","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Microbus","Verde","Ignorado","Vuelco"
159,13,"Enero","Sábado",4,"Guatemala","Guatemala","Rural","11","Hombre","22","20-24","Mayor","Ebrio","Automovil","Blanco","2001","Choque"
